osmid,highway,oneway,reversed,length,lanes,maxspeed,ref,name,bridge,access,junction,geometry_wkt
653232752,primary,False,False,520.8408098949398,,120,C46,,,,,"LINESTRING (601093.1118522389 8021453.066121604, 601117.309941171 8021440.859249062, 601153.9648902804 8021424.162544098, 601181.1829423567 8021410.025872377, 601192.9957353538 8021403.890654305, 601229.6531560246 8021385.633618197, 601267.3842596532 8021363.974038546, 601302.6512957339 8021343.1790276645, 601338.9082293969 8021321.239171353, 601373.6623572829 8021299.61677798, 601459.4307909745 8021245.776480298, 601481.6588505836 8021231.687129878, 601502.3368204328 8021219.010979823, 601543.4019301564 8021192.7417061655)"
653232752,primary,False,True,606.3377477610704,,120,C46,,,,,"LINESTRING (601093.1118522389 8021453.066121604, 601036.7862889111 8021474.455318518, 600980.3415895528 8021495.3580955835, 600881.498769518 8021530.751156827, 600784.0731893966 8021567.8183561545, 600689.7372533894 8021604.194340338, 600587.6891576496 8021642.799996786, 600525.292788086 8021666.409455122)"
123098788,primary,True,False,88.69480178098435,2,60,C46,Oshakati Main Road,,,,"LINESTRING (576543.4189310401 8033286.931085844, 576455.672985555 8033300.446273312)"
650706150,secondary,False,True,14.229087745462142,2,60,D3607,,,,,"LINESTRING (576543.4189310401 8033286.931085844, 576545.1266186255 8033300.987176166)"
650706150,secondary,False,False,231.1990479372463,2,60,D3607,,,,,"LINESTRING (576543.4189310401 8033286.931085844, 576536.7992975623 8033230.473560086, 576530.8048409276 8033184.967235201, 576523.7990700777 8033141.080182149, 576517.0416293729 8033098.364981151, 576511.4529313216 8033059.119454566)"
"[23947601, 709275329, 332200987, 332200997]",primary,False,True,1367.5626027551707,2,"['60', '120']",C41,"['Okahao Road', 'Malakia Nakuumba Road']",yes,,,"LINESTRING (571233.0382993504 8033816.747537769, 571446.727038838 8033859.341238363, 571522.9658781162 8033875.165487568, 571657.0077731559 8033903.09562799, 571707.7758459258 8033913.224401544, 571769.2357855316 8033925.294944093, 571853.8657236268 8033939.826346399, 571883.5976088444 8033945.372672044, 571966.3580005374 8033961.691686967, 572031.6027200482 8033973.825182352, 572224.2978315526 8034008.033673895, 572271.3500282527 8034016.382132134, 572326.1441597601 8034025.786612742, 572387.4215138019 8034036.981868148, 572577.9116944012 8034070.785631701)"
650834688,unclassified,False,False,1723.8634676779316,,100,,,,,,"LINESTRING (571233.0382993504 8033816.747537769, 571293.1915135 8033541.422313372, 571322.1499962306 8033437.968368734, 571330.2503960687 8033409.0397846205, 571340.8333565579 8033348.24863793, 571348.8100186028 8033273.050262981, 571344.8967984923 8033213.439669017, 571334.7116967202 8033148.773141042, 571335.7150051434 8033112.313203161, 571358.3459209794 8032920.645316317, 571373.547524472 8032794.282482181, 571385.9658691776 8032619.03715615, 571391.6414612436 8032493.560416676, 571392.0298872895 8032483.667674069, 571390.9863884082 8032470.538281072, 571387.8160141592 8032458.401238327, 571383.9380099674 8032446.963778536, 571379.0672751165 8032436.525657474, 571335.1656694041 8032362.796948023, 571332.5748472721 8032355.603490058, 571310.7428155708 8032291.255332396, 571307.8830288029 8032285.899485173, 571305.0187197819 8032282.236468269, 571301.7440692845 8032279.415798742, 571287.4973739702 8032270.139845484, 571179.0239964675 8032210.384064126)"
23947601,primary,False,False,29.743916034359042,2,60,C41,Malakia Nakuumba Road,,,,"LINESTRING (573694.4394091491 8034364.571590731, 573670.5445745895 8034346.913165287)"
23947601,primary,False,True,13.366862650236202,2,60,C41,Malakia Nakuumba Road,,,,"LINESTRING (573694.4394091491 8034364.571590731, 573705.5020291166 8034372.054242152)"
123098805,primary,True,False,215.07296923499524,2,60,C46,Oshakati Main Road,,,,"LINESTRING (573694.4394091491 8034364.571590731, 573568.8648154406 8034538.412046965)"
